energy,energy_per_atom,volume,formation_energy_per_atom,unit_cell_formula,pretty_formula,elements,nelements,e_above_hull,band_gap,density,total_magnetization,material_id,crystal_system,G_Reuss,G_VRH,G_Voigt,G_Voigt_Reuss_Hill,K_Reuss,K_VRH,K_Voigt,K_Voigt_Reuss_Hill,elastic_anisotropy,C11,C22,C33,C44,C55,C66,C12,C13,C23,homogeneous_poisson,poisson_ratio,universal_anisotropy
-18.94079734,-4.735199335,56.616860821035665,-0.3600786612499993,"{'Zn': 1.0, 'Cu': 1.0, 'Pt': 2.0}",ZnCuPt2,"['Zn', 'Cu', 'Pt']",3,0.0009765274999997686,0.0,15.225570781739842,0.0004947,mp-971739,cubic,37.0,51.0,66.0,51.0,212.0,212.0,212.0,212.0,4.0,237.0,237.0,237.0,98.0,98.0,98.0,199.0,199.0,199.0,0.39,0.39,4.0
-14.06427584,-3.51606896,55.946187347961256,-0.34381006250000024,"{'Zn': 2.0, 'Cu': 1.0, 'Pt': 1.0}",Zn2CuPt,"['Zn', 'Cu', 'Pt']",3,0.0038491094078949573,0.0,11.559208036592024,0.0006474,mp-971827,cubic,-3.0,21.0,45.0,21.0,176.0,176.0,176.0,176.0,-80.77,174.0,174.0,174.0,75.0,75.0,75.0,176.0,176.0,176.0,0.44,0.44,-80.77
-16.01717589,-4.0042939725,58.35634698893651,-0.5627150075,"{'Zn': 2.0, 'Pd': 1.0, 'Pt': 1.0}",Zn2PdPt,"['Zn', 'Pd', 'Pt']",3,0.007769329999999464,0.0,12.301790762995255,0.0002358,mp-981368,cubic,-240.0,-104.0,33.0,-104.0,155.0,155.0,155.0,155.0,-5.68,110.0,110.0,110.0,77.0,77.0,77.0,177.0,177.0,177.0,0.93,0.93,-5.68
-18.0052749,-4.501318725,52.69414993701666,-0.21702536750000068,"{'Zn': 2.0, 'Ni': 1.0, 'Ir': 1.0}",Zn2NiIr,"['Zn', 'Ni', 'Ir']",3,0.007563884999999715,0.0,12.029322453979395,0.0011447,mp-971836,cubic,43.0,58.0,73.0,58.0,207.0,207.0,207.0,207.0,3.5,238.0,238.0,238.0,107.0,107.0,107.0,192.0,192.0,192.0,0.37,0.37,3.5
-16.11218356,-4.02804589,54.54321538780859,-0.16390631499999975,"{'Zn': 2.0, 'Cu': 1.0, 'Ir': 1.0}",Zn2CuIr,"['Zn', 'Cu', 'Ir']",3,0.0,0.0,11.769252112129392,0.0003671,mp-980665,cubic,-99.0,-31.0,37.0,-31.0,89.0,89.0,89.0,89.0,-6.85,59.0,59.0,59.0,76.0,76.0,76.0,104.0,104.0,104.0,0.7,0.7,-6.85
-17.65059949,-2.9417665816666667,145.08649373353205,-0.5246938083333337,"{'Ca': 2.0, 'Zn': 2.0, 'Sn': 2.0}",CaZnSn,"['Ca', 'Zn', 'Sn']",3,0.0,0.0,5.131943953353362,3.05e-06,mp-31160,hexagonal,35.0,36.0,36.0,36.0,45.0,46.0,47.0,46.0,0.23,99.0,99.0,68.0,43.0,43.0,33.0,34.0,23.0,23.0,0.19,0.19,0.23
-15.72703468,-3.93175867,47.69977165417304,-0.12233473374999981,"{'Zn': 1.0, 'Cu': 2.0, 'Ni': 1.0}",ZnCu2Ni,"['Zn', 'Cu', 'Ni']",3,0.005181855000000013,0.0,8.744656421738975,0.0016211,mp-30593,tetragonal,50.0,59.0,68.0,59.0,143.0,143.0,143.0,143.0,1.73,179.0,179.0,198.0,90.0,90.0,95.0,131.0,116.0,116.0,0.32,0.32,1.73
-17.38915158,-4.347287895,46.496347229473045,-0.11771017625000013,"{'Zn': 1.0, 'Cu': 1.0, 'Ni': 2.0}",ZnCuNi2,"['Zn', 'Cu', 'Ni']",3,0.009806412499999695,0.0,8.797684270072494,0.0045649,mp-971738,cubic,22.0,49.0,75.0,49.0,182.0,182.0,182.0,182.0,11.87,195.0,195.0,195.0,118.0,118.0,118.0,175.0,175.0,175.0,0.38,0.38,11.87
-13.30213439,-4.434044796666667,51.406022552171216,0.9673893416666667,"{'Zn': 1.0, 'Cu': 1.0, 'Mo': 1.0}",ZnCuMo,"['Zn', 'Cu', 'Mo']",3,1.0277338733333323,0.0,7.264653339090789,0.4567456,mp-631379,cubic,-5.0,-11.0,-17.0,-11.0,93.0,93.0,93.0,93.0,12.52,91.0,91.0,91.0,-27.0,-27.0,-27.0,95.0,95.0,95.0,0.56,0.56,12.52
-17.3357241,-4.333931025,56.03331395164472,-0.4060207362499999,"{'Zn': 1.0, 'Cu': 1.0, 'Pd': 2.0}",ZnCuPd2,"['Zn', 'Cu', 'Pd']",3,0.0,0.0,10.129044852823442,8.6e-05,mp-864661,cubic,42.0,52.0,61.0,52.0,146.0,146.0,146.0,146.0,2.3,178.0,178.0,178.0,86.0,86.0,86.0,130.0,130.0,130.0,0.34,0.34,2.3
-9.56917137,-3.18972379,82.66675333053088,0.24061552388888904,"{'Mg': 1.0, 'Sc': 1.0, 'Tl': 1.0}",MgScTl,"['Mg', 'Sc', 'Tl']",3,0.37967643333333356,0.0,5.4967309839559455,0.0015398,mp-962071,cubic,38.0,38.0,39.0,38.0,26.0,26.0,26.0,26.0,0.03,73.0,73.0,73.0,41.0,41.0,41.0,3.0,3.0,3.0,0.01,0.01,0.03
-17.39893889,-4.3497347225,91.80026338327524,-0.1938629608333331,"{'Mg': 1.0, 'Sc': 2.0, 'Tl': 1.0}",MgSc2Tl,"['Mg', 'Sc', 'Tl']",3,0.0,0.0,5.763033057070613,0.403532,mp-866080,cubic,10.0,23.0,37.0,23.0,55.0,55.0,55.0,55.0,13.37,61.0,61.0,61.0,58.0,58.0,58.0,52.0,52.0,52.0,0.31,0.31,13.37
-9.12870167,-2.2821754175,118.95020013560469,-0.2928068408333333,"{'Ca': 2.0, 'Mg': 1.0, 'Tl': 1.0}",Ca2MgTl,"['Ca', 'Mg', 'Tl']",3,0.0,0.0,4.311451557560031,0.0032947,mp-861645,cubic,10.0,15.0,20.0,15.0,26.0,26.0,26.0,26.0,5.63,32.0,32.0,32.0,31.0,31.0,31.0,23.0,23.0,23.0,0.26,0.26,5.63
-9.44575875,-2.3614396875,107.49246671735722,-0.28152356458333294,"{'Ca': 1.0, 'Mg': 1.0, 'Tl': 2.0}",CaMgTl2,"['Ca', 'Mg', 'Tl']",3,0.0,0.0,7.309194952350051,0.000766,mp-867266,cubic,16.0,16.0,16.0,16.0,38.0,38.0,38.0,38.0,0.02,61.0,61.0,61.0,15.0,15.0,15.0,26.0,26.0,26.0,0.31,0.31,0.02
-9.47512358,-2.368780895,104.61247778949054,-0.05177231916666658,"{'Mg': 2.0, 'Tl': 1.0, 'Pb': 1.0}",Mg2TlPb,"['Mg', 'Tl', 'Pb']",3,0.0,0.0,7.304759135667301,0.0061853,mp-978256,cubic,33.0,33.0,34.0,33.0,114.0,114.0,114.0,114.0,0.03,163.0,163.0,163.0,31.0,31.0,31.0,90.0,90.0,90.0,0.37,0.37,0.03
-16.66739053,-4.1668476325,71.56362545987744,-0.16972054749999943,"{'Tl': 1.0, 'Pd': 2.0, 'Au': 1.0}",TlPd2Au,"['Tl', 'Pd', 'Au']",3,0.002874506785714104,0.0,14.251461761900831,0.0002822,mp-865232,cubic,-32.0,-1.0,30.0,-1.0,124.0,124.0,124.0,124.0,-9.78,111.0,111.0,111.0,57.0,57.0,57.0,130.0,130.0,130.0,0.5,0.5,-9.78
-26.13025052,-6.53256263,78.94320670642813,-0.18575987000000005,"{'Sc': 2.0, 'Tl': 1.0, 'Tc': 1.0}",Sc2TlTc,"['Sc', 'Tl', 'Tc']",3,0.0,0.0,8.251772460437026,0.0016513,mp-972861,cubic,35.0,39.0,43.0,39.0,69.0,69.0,69.0,69.0,1.07,99.0,99.0,99.0,56.0,56.0,56.0,54.0,54.0,54.0,0.26,0.26,1.07
-21.68763223,-5.4219080575,83.52108401944554,0.5815672962500003,"{'Sc': 1.0, 'Tl': 2.0, 'W': 1.0}",ScTl2W,"['Sc', 'Tl', 'W']",3,0.6511038108333338,0.0,12.675810796818,0.0039616,mp-631406,cubic,-220.0,-99.0,21.0,-99.0,100.0,100.0,100.0,100.0,-5.48,67.0,67.0,67.0,52.0,52.0,52.0,117.0,117.0,117.0,1.24,1.24,-5.48
-19.07174729,-4.7679368225,87.64494864040057,-0.303156775833334,"{'Sc': 2.0, 'Tl': 1.0, 'Ag': 1.0}",Sc2TlAg,"['Sc', 'Tl', 'Ag']",3,0.0,0.0,7.619468332347021,0.0044544,mp-862366,cubic,28.0,31.0,34.0,31.0,72.0,72.0,72.0,72.0,1.13,95.0,95.0,95.0,45.0,45.0,45.0,60.0,60.0,60.0,0.31,0.31,1.13
-27.54201174,-6.885502935,67.8693694776749,0.7142804825000004,"{'Tl': 1.0, 'Tc': 1.0, 'Ir': 2.0}",TlTcIr2,"['Tl', 'Tc', 'Ir']",3,0.8560256137500009,0.0,16.804148425776763,0.1752811,mp-631409,cubic,10574.0,5303.0,31.0,5303.0,289.0,289.0,289.0,289.0,-4.99,205.0,205.0,205.0,93.0,93.0,93.0,332.0,332.0,332.0,-0.79,-0.79,-4.99
-13.71989086,-4.573296953333333,59.4068278906222,0.5264663833333335,"{'Tl': 1.0, 'Cu': 1.0, 'Ir': 1.0}",TlCuIr,"['Tl', 'Cu', 'Ir']",3,0.5264663833333332,0.0,12.862004833994186,0.0001946,mp-631371,cubic,55.0,55.0,55.0,55.0,129.0,129.0,129.0,129.0,0.0,200.0,200.0,200.0,55.0,55.0,55.0,93.0,93.0,93.0,0.31,0.31,0.0
-15.07661088,-3.76915272,69.25899041269645,-0.4388662358333333,"{'Mg': 1.0, 'Pd': 1.0, 'Au': 2.0}",MgPdAu2,"['Mg', 'Pd', 'Au']",3,0.02085477390624968,0.0,12.579093769159304,0.0008146,mp-977113,cubic,-40.0,-5.0,31.0,-5.0,117.0,117.0,117.0,117.0,-8.85,102.0,102.0,102.0,59.0,59.0,59.0,125.0,125.0,125.0,0.52,0.52,-8.85
-14.3505769,-3.587644225,68.38454034881681,-0.6766041466666666,"{'Mg': 2.0, 'Pd': 1.0, 'Au': 1.0}",Mg2PdAu,"['Mg', 'Pd', 'Au']",3,9.705999999987114e-05,0.0,8.547312757418798,0.0032316,mp-864972,cubic,33.0,37.0,41.0,37.0,88.0,88.0,88.0,88.0,1.23,116.0,116.0,116.0,54.0,54.0,54.0,74.0,74.0,74.0,0.32,0.32,1.23
